"name","playerid","Bats","Age_2024","G_2024","AB_2024","PA_2024","H_2024","X1B_2024","X2B_2024","X3B_2024","HR_2024","Age_2023","G_2023","AB_2023","PA_2023","H_2023","X1B_2023","X2B_2023","X3B_2023","HR_2023","Age_2022","G_2022","AB_2022","PA_2022","H_2022","X1B_2022","X2B_2022","X3B_2022","HR_2022","Age_2021","G_2021","AB_2021","PA_2021","H_2021","X1B_2021","X2B_2021","X3B_2021","HR_2021","Age_2020","G_2020","AB_2020","PA_2020","H_2020","X1B_2020","X2B_2020","X3B_2020","HR_2020","Age_2019","G_2019","AB_2019","PA_2019","H_2019","X1B_2019","X2B_2019","X3B_2019","HR_2019","Age_2018","G_2018","AB_2018","PA_2018","H_2018","X1B_2018","X2B_2018","X3B_2018","HR_2018","R_2018"
"Mike Gerber",16115,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,12,24,26,1.08695652173913,0,1.06382978723404,0,0,25,18,42,47,4.34782608695652,3.09278350515464,1.21951219512195,0,0,2.35294117647059
"John Curtiss",16128,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,38,5,5,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Hess",16130,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,14,4,4,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,23,3,4,0,0,0,0,0,24,21,2,3,0,0,0,0,0,1.88679245283019
"Carlos Rodón",16137,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,24,3,3,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Nola",16149,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,33,49,63,6.86274509803922,4.80769230769231,2.12765957446809,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,34,59,70,6.93069306930693,4.80769230769231,2.29885057471264,0,0,25,33,62,70,3.15789473684211,2.1978021978022,1.02040816326531,0,0,0
"Austin Slater",16153,"R",31,84,177,212,35.6513802183231,30.3519651984271,3.51467430207588,0,2.5,30,89,185,207,51.0204081632653,35.2941176470588,10.1123595505618,0,5.37634408602151,29,125,277,325,72.2772277227723,46.2264150943396,15,1.34228187919463,9.58904109589041,28,129,274,306,66.6666666666667,39.8058252427184,12,0.675675675675676,15.1898734177215,27,31,85,104,23.3009708737864,15.6862745098039,1.8018018018018,0.714285714285714,5.37634408602151,26,68,168,192,41.2371134020619,21.2962962962963,11.3924050632911,2.32558139534884,6.32911392405063,25,74,199,225,49.5049504950495,39.2523364485981,6.31578947368421,0.854700854700855,1.35135135135135,21.875
"Eric Skoglund",16155,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,14,3,3,0,0,0,0,0,0
"Brandon Woodruff",16162,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,30,52,58,6.45161290322581,6.31578947368421,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,27,45,49,12.7659574468085,8.88888888888889,4.3010752688172,0,0,25,19,8,10,2.12765957446809,1.11111111111111,0,0,0.775193798449612,1.85185185185185
"Derek Fisher",16192,"L",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,4,8,8,2.1505376344086,1.05263157894737,0,1.16279069767442,0,26,16,31,39,6.93069306930693,2.85714285714286,2.04081632653061,0.819672131147541,1.12359550561798,25,57,146,167,27.5851296469853,15.8585858585859,4.5460415859486,1.35135135135135,5.02136752136752,24,42,79,86,14.2857142857143,5.26315789473684,2.5,2.10526315789474,4.3956043956044,15.6626506024096
"Spencer Turnbull",16207,"R",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,30,8,8,0,0,0,0,0,25,4,2,2,0,0,0,0,0,0
