"name","Bats","predicted_PA","team"
"Coco Montes","R",154.6859,"TBR"
"Matt Vierling","R",487.36576,"DET"
"Alfonso Rivas III","L",200.48,NA
"Romy Gonzalez","R",247.62342,"BOS"
"Cesar Salazar","L",141.18885,"HOU"
"Kyle Isbel","L",367.14912,"KCR"
"Alec Bohm","R",592.935,"PHI"
"Jake McCarthy","L",392.51428,"ARI"
"Griffin Conine","L",290.91053,"MIA"
"Nick Maton","L",140.12361,"CHW"
"Jeremy Pena","R",582.589,"HOU"
"Rafael Marchan","B",207.6077142,"PHI"
"Luis De Los Santos","R",151.80576,"NYM"
"Miguel Amaya","R",337.1376,"CHC"
"Oswaldo Cabrera","B",353.9478288,"NYY"
"Oneil Cruz","L",571.81384,"PIT"
"Enmanuel Valdez","L",334.97464,"PIT"
"Jair Camargo","R",201.71417,"MIN"
"Jose Fermin","R",202.82142,"STL"
"Esteury Ruiz","R",202.87666,"ATH"
"Andres Chaparro","R",295.75557,"WSN"
"Jonathan Aranda","L",273.03052,"TBR"
"Freddy Fermin","R",415.68984,"KCR"
"Will Benson","L",276.25722,"CIN"
"Bo Naylor","L",392.26038,"CLE"
"Jerar Encarnacion","R",281.634,"SFG"
"Christopher Morel","R",453.66415,"TBR"
"Rodolfo Castro","B",208.3748196,"PHI"
"Grant Koch","R",169.986,NA
"Dane Myers","R",198.97956,"MIA"
"Nick Pratto","L",222.638,"KCR"
"Ryan Vilade","R",220.71561,"STL"
"Akil Baddoo","L",253.69344,"DET"
"Cal Mitchell","L",245.8962,"CHW"
"Mark Vientos","R",438.58242,"NYM"
"Brice Turang","L",525.46674,"MIL"
"MJ Melendez","L",415.13056,"KCR"
"Jeter Downs","R",238.985,NA
"Sam Huff","R",173.327,"SFG"
"Luis Campusano","R",291.54816,"SDP"
"Mason McCoy","R",154.96704,"SDP"
"Jack Suwinski","L",360.17488,"PIT"
"Bubba Thompson","R",125.39,NA
"Nolan Gorman","L",395.003,"STL"
"Xavier Edwards","B",413.8116395,"MIA"
"Samad Taylor","R",119.5398,"SEA"
"Jake Burger","R",499.79556,"TEX"
"Nick Allen","R",194.23962,"ATL"
"Cal Stevenson","L",154.88249,"PHI"
"Taylor Walls","B",188.232184,"TBR"
"Livan Soto","L",215.70363,"BAL"
"Buddy Kennedy","R",241.176,"PHI"
"Triston Casas","L",390.08956,"BOS"
"Heliot Ramos","R",509.823,"SFG"
"Johnathan Rodriguez","R",230.13275,"CLE"
"Tyler Freeman","R",351.21595,"CLE"
"Lawrence Butler","L",454.8239,"ATH"
"Michael Siani","L",252.54,"STL"
"Jarred Kelenic","L",392.15876,"ATL"
"Gabriel Arias","R",267.4592,"CLE"
"Alejandro Kirk","R",425.45016,"TOR"
"Jordan Diaz","R",182.91406,"ATH"
"Gabriel Moreno","R",491.09576,"ARI"
"Gustavo Campero","B",211.1292008,"LAA"
"Maikel Garcia","R",593.7246,"KCR"
"Steward Berroa","B",178.059304,"TOR"
"Geraldo Perdomo","B",409.8604,"ARI"
"Oswald Peraza","R",210.69696,"NYY"
"Alexander Canario","R",184.6512,"CHC"
"Wenceel Perez","B",455.2959411,"DET"
"Tucupita Marcano","L",180.35498,"SDP"
"Lenyn Sosa","R",369.366,"CHW"
"Yainer Diaz","R",603.321,"HOU"
"David Banuelos","R",170.06496,"BAL"
"Canaan SmithNjigba","L",159.84,NA
"Jacob Amaya","R",160.625,"CHW"
"Ryan Noda","L",240.28743,"LAA"
"Nelson Velazquez","R",302.77584,"KCR"
"Hunter Feduccia","L",188.35745,"LAD"
"Jose Barrero","R",168.58628,"STL"
"Eric Wagaman","R",208.31664,"MIA"
"Jose Caballero","R",332.14255,"TBR"
"Luis Vazquez","R",149.71424,"BAL"
"Chandler Seagle","R",212.66388,"ATL"
"Chris Roller","R",141.901,NA
"Davis Schneider","R",323.8143,"TOR"
"Wander Franco","B",352.4765433,"TBR"
"Brayan Rocchio","B",317.6402532,"CLE"
"Jose Tena","L",297.42876,"WSN"
"Everson Pereira","R",159.78912,"NYY"
"Julio Rodriguez","R",555.0813,"SEA"
"Ronny Mauricio","B",170.6562544,"NYM"
"Ezequiel Duran","R",325.9872,"TEX"
"Wilyer Abreu","L",526.41728,"BOS"
"Leo Jimenez","R",329.17338,"TOR"
"Jordyn Adams","R",188.31696,"BAL"
"Blaze Alexander","R",265.34823,"ARI"
"Alek Thomas","L",345.21901,"ARI"
"Parker Meadows","L",385.53768,"DET"
"Ji Hwan Bae","L",237.76168,"PIT"
"Jorge Barrosa","B",220.9003384,"ARI"
"Osleivis Basabe","R",173.278,"SFG"
"Curtis Mead","R",258.1073,"TBR"
"Ezequiel Tovar","R",677.70332,"COL"
"Jhonkensy Noel","R",322.7321,"CLE"
"Ceddanne Rafaela","R",521.6843,"BOS"
"Liover Peguero","R",188.685,"PIT"
"Johan Rojas","R",342.321,"PHI"
"Terrin Vavra","L",193.37117,"BAL"
"JP Martinez","L",83.792,NA
"Tyler Cropley","R",196.23,NA
"Max Schuemann","R",375.97406,"ATH"
"DaShawn Keirsey Jr","L",148.727,"MIN"
"Richie Palacios","L",348.79828,"TBR"
"Jonathan Ornelas","R",205.60419,"TEX"
"Addison Barger","L",323.65117,"TOR"
"Michael Helman","R",176.48432,"STL"
"Steven Kwan","L",518.93418,"CLE"
"Jarren Duran","L",666.82769,"BOS"
"Ryan Jeffers","R",406.23109,"MIN"
"Owen Miller","R",172.67528,"COL"
"Brendan Donovan","L",605.117,"STL"
"Jonah Bride","R",280.61628,"MIA"
"Logan O'Hoppe","R",482.9616,"LAA"
