"name","Bats","predicted_avg","team"
"Nick Fortes","R",0.23562,"MIA"
"Coco Montes","R",0.16975,"TBR"
"Matt Vierling","R",0.2401,"DET"
"Alfonso Rivas III","L",0.227,NA
"Romy Gonzalez","R",0.2809,"BOS"
"Cesar Salazar","L",0.2277,"HOU"
"Kyle Isbel","L",0.22984,"KCR"
"Alec Bohm","R",0.287,"PHI"
"Jake McCarthy","L",0.22927,"ARI"
"Griffin Conine","L",0.24824,"MIA"
"Nick Maton","L",0.19107,"CHW"
"Jeremy Pena","R",0.249,"HOU"
"Rafael Marchan","B",0.2496616,"PHI"
"Luis De Los Santos","R",0.21483,"NYM"
"Miguel Amaya","R",0.2256,"CHC"
"Oswaldo Cabrera","B",0.2118364,"NYY"
"Oneil Cruz","L",0.2756,"PIT"
"Enmanuel Valdez","L",0.24024,"PIT"
"Jair Camargo","R",0.25452,"MIN"
"Jose Fermin","R",0.26162,"STL"
"Esteury Ruiz","R",NA,"ATH"
"Andres Chaparro","R",0.22176,"WSN"
"Jonathan Aranda","L",0.22278,"TBR"
"Freddy Fermin","R",0.2592,"KCR"
"Will Benson","L",0.22422,"CIN"
"Bo Naylor","L",0.23052,"CLE"
"Jerar Encarnacion","R",0.252,"SFG"
"Christopher Morel","R",0.22019,"TBR"
"Rodolfo Castro","B",0.2104003,"PHI"
"Grant Koch","R",0.227,NA
"Dane Myers","R",0.22746,"MIA"
"Nick Pratto","L",0.21736,"KCR"
"Ryan Vilade","R",0.24514,"STL"
"Akil Baddoo","L",0.23166,"DET"
"Cal Mitchell","L",0.198,"CHW"
"Mark Vientos","R",0.22599,"NYM"
"Brice Turang","L",0.22134,"MIL"
"MJ Melendez","L",0.23504,"KCR"
"Jeter Downs","R",0.226,NA
"Sam Huff","R",0.254,"SFG"
"Luis Campusano","R",0.23712,"SDP"
"Mason McCoy","R",0.2016,"SDP"
"Jack Suwinski","L",0.23296,"PIT"
"Bubba Thompson","R",0.173,NA
"Nolan Gorman","L",0.201,"STL"
"Xavier Edwards","B",0.250733,"MIA"
"Samad Taylor","R",0.216,"SEA"
"Jake Burger","R",0.24849,"TEX"
"Nick Allen","R",0.23562,"ATL"
"Cal Stevenson","L",0.21816,"PHI"
"Taylor Walls","B",0.1918798,"TBR"
"Livan Soto","L",0.25338,"BAL"
"Buddy Kennedy","R",0.239,"PHI"
"Triston Casas","L",0.22148,"BOS"
"Heliot Ramos","R",0.267,"SFG"
"Johnathan Rodriguez","R",0.21375,"CLE"
"Tyler Freeman","R",0.2394,"CLE"
"Lawrence Butler","L",NA,"ATH"
"Michael Siani","L",0.216,"STL"
"Jarred Kelenic","L",0.23028,"ATL"
"Gabriel Arias","R",0.21755,"CLE"
"Alejandro Kirk","R",0.2652,"TOR"
"Jordan Diaz","R",NA,"ATH"
"Gabriel Moreno","R",0.28248,"ARI"
"Gustavo Campero","B",0.205086,"LAA"
"Maikel Garcia","R",0.28404,"KCR"
"Steward Berroa","B",0.226895,"TOR"
"Geraldo Perdomo","B",0.2430328,"ARI"
"Oswald Peraza","R",0.20352,"NYY"
"Alexander Canario","R",0.19488,"CHC"
"Wenceel Perez","B",0.2348346,"DET"
"Tucupita Marcano","L",0.2209,"SDP"
"Lenyn Sosa","R",0.258,"CHW"
"Yainer Diaz","R",0.278,"HOU"
"David Banuelos","R",0.25584,"BAL"
"Canaan SmithNjigba","L",0.201,NA
"Jacob Amaya","R",0.194,"CHW"
"Ryan Noda","L",0.21825,"LAA"
"Nelson Velazquez","R",0.22356,"KCR"
"Hunter Feduccia","L",0.2242,"LAD"
"Jose Barrero","R",0.2163,"STL"
"Eric Wagaman","R",0.23868,"MIA"
"Jose Caballero","R",0.25608,"TBR"
"Luis Vazquez","R",0.14144,"BAL"
"Chandler Seagle","R",0.23154,"ATL"
"Chris Roller","R",0.199,NA
"Davis Schneider","R",0.23256,"TOR"
"Wander Franco","B",0.2526734,"TBR"
"Brayan Rocchio","B",0.2482281,"CLE"
"Jose Tena","L",0.27756,"WSN"
"Everson Pereira","R",0.19584,"NYY"
"Julio Rodriguez","R",0.261,"SEA"
"Ronny Mauricio","B",0.2089848,"NYM"
"Ezequiel Duran","R",0.25344,"TEX"
"Wilyer Abreu","L",0.27346,"BOS"
"Leo Jimenez","R",0.2346,"TOR"
"Jordyn Adams","R",0.24128,"BAL"
"Blaze Alexander","R",0.2461,"ARI"
"Alek Thomas","L",0.24745,"ARI"
"Parker Meadows","L",0.2277,"DET"
"Ji Hwan Bae","L",0.25168,"PIT"
"Jorge Barrosa","B",0.2347944,"ARI"
"Osleivis Basabe","R",0.231,"SFG"
"Curtis Mead","R",0.22019,"TBR"
"Ezequiel Tovar","R",0.2552,"COL"
"Jhonkensy Noel","R",0.1919,"CLE"
"Ceddanne Rafaela","R",0.25016,"BOS"
"Liover Peguero","R",0.22,"PIT"
"Johan Rojas","R",0.227,"PHI"
"Terrin Vavra","L",0.23484,"BAL"
"JP Martinez","L",0.186,NA
"Tyler Cropley","R",0.209,NA
"Max Schuemann","R",NA,"ATH"
"DaShawn Keirsey Jr","L",0.2,"MIN"
"Richie Palacios","L",0.21338,"TBR"
"Jonathan Ornelas","R",0.26334,"TEX"
"Addison Barger","L",0.22213,"TOR"
"Michael Helman","R",0.23587,"STL"
"Steven Kwan","L",0.26826,"CLE"
"Jarren Duran","L",0.27346,"BOS"
"Ryan Jeffers","R",0.22927,"MIN"
"Owen Miller","R",0.27724,"COL"
"Brendan Donovan","L",0.269,"STL"
"Jonah Bride","R",0.2142,"MIA"
"Logan O'Hoppe","R",0.23562,"LAA"
"Mickey Gasper","B",0.2267458,"MIN"
"James Outman","L",0.20045,"LAD"
"David Villar","R",0.22,"SFG"
"Andy Pages","R",0.22344,"LAD"
"David Fry","R",0.2318,"CLE"
"Vinny Capra","R",0.17014,"MIL"
"Nate Eaton","R",0.21836,"BOS"
"David Hensley","R",0.22638,"DET"
"Levi Jordan","R",0.21522,"CIN"
"Daniel Schneemann","L",0.22338,"CLE"
"Endy Rodriguez","B",0.2371908,"PIT"
"Michael Stefanic","R",0.2346,"TOR"
"Austin Shenton","L",0.2093,"SEA"
"Greg Jones","B",0.2721788,"COL"
"Peyton Burdick","R",0.218,NA
"Logan Driscoll","L",0.2256,"TBR"
"Cam Eden","R",0.1968,"NYY"
"Isaac Collins","B",0.1819935,"MIL"
"Brenton Doyle","R",0.28188,"COL"
"TJ Hopkins","R",0.22148,"DET"
"Nick Sogard","B",0.2501594,"BOS"
"Joey Ortiz","R",0.21808,"MIL"
"Cade Marlowe","L",0.22659,"SEA"
"Aaron Schunk","R",0.27376,"COL"
"Korey Lee","R",0.211,"CHW"
"Jake Alu","L",0.222,NA
"Kyle McCann","L",NA,"ATH"
"Marco Luciano","R",0.234,"SFG"
"Bryan Ramos","R",0.245,"CHW"
"Drew Millas","B",0.2289654,"WSN"
"Will Brennan","L",0.25602,"CLE"
"Grant McCray","L",0.202,"SFG"
"Dustin Harris","L",0.24582,"TEX"
"Bobby Witt Jr","R",0.31536,"KCR"
"CJ Abrams","L",0.27108,"WSN"
"Pedro Pages","R",0.2369,"STL"
"Blake Sabol","L",0.2712,"BOS"
"Jared Triolo","R",0.226,"PIT"
