"playerid","name","Bats","dist1b","dist2b","dist3b","distHR","distIBB"
7304,"Salvador Perez","R",0.599749257088866,0.181051472395169,0.00119128658951667,0.230918751962721,0.125425495557074
7324,"Chris Gimenez","R",0.743895754777067,0.0779531870237716,0,0.182873963071983,0
7349,"Sean Kazmar Jr","R",NA,NA,NA,NA,0
7407,"Javy Guerra","R",NA,NA,NA,NA,0
7410,"JA Happ","L",1,0,0,0,0
7432,"Jay Jackson","R",NA,NA,NA,NA,0
7435,"Ben Zobrist","B",0.76681118539798,0.169767567032408,0.0101237919470549,0.047856775832427,0.00959045454545454
7448,"Gio Gonzalez","R",0.885731708977469,0.117955253469272,0,0,0
7450,"Phil Hughes","R",NA,NA,NA,NA,0
7462,"Trevor Plouffe","R",0.68062827225131,0,0,0.308056872037914,0
7476,"Alex Avila","L",0.521961186549391,0.304902466667384,0.0188162221410304,0.172225453505058,0.0713278409988936
7539,"Neil Walker","B",0.67600974481232,0.244238553633902,0.00851705175652767,0.0781637831086505,0.0333892857142857
7555,"Nick Vincent","R",NA,NA,NA,NA,0
7571,"Lonnie Chisenhall","L",0.721208770960014,0.213914849428868,0.041921041921042,0.0343677010343677,0.11875
7593,"Jordan Lyles","R",1,0,0,0,0
7608,"Tommy Milone","L",NA,NA,NA,NA,0
7619,"Mark Reynolds","R",0.573196577960932,0.219267633912565,0,0.205459800278519,0.0207291666666666
7677,"Neil Ramirez","R",NA,NA,NA,NA,0
7731,"Juan Nicasio","R",NA,NA,NA,NA,0
7738,"Wily Peralta","R",NA,NA,NA,NA,0
7739,"Travis d'Arnaud","R",0.609998398468405,0.185481018205415,0.00174767411529433,0.197470490025446,0
7740,"Ty Kelly","B",0.968042274786107,0,0,0,0
7773,"Shawn Kelley","R",NA,NA,NA,NA,0
7802,"Miguel Rojas","R",0.71476556384194,0.197479448847079,0.0126154683571219,0.0722453613070411,0.042430173992674
7803,"Richard Bleier","L",NA,NA,NA,NA,0
7836,"Hunter Strickland","R",NA,NA,NA,NA,0
7841,"Jerry Blevins","L",0.960396039603957,0,0,0,0
7859,"Charlie Blackmon","L",0.648804665919777,0.198156476978718,0.0288003823180757,0.120430708869154,0.062614239991649
7870,"Jonathan Lucroy","R",0.768979936396867,0.166590742048814,0.00962266562279701,0.0539816961952758,0.0244976585781183
7872,"Tyson Ross","R",0.872603469263542,0,0,0.133378025027348,0
7882,"Josh Lindblom","R",NA,NA,NA,NA,0
7888,"Ryan Flaherty","L",0.546294841581566,0.399029244023783,0,0.0333333333333333,0.115555555555556
