"PlayerName","playerid","K/9","HR/9","BB/9","AVG","ERA","SO","BB","HR","ER","HLD","H","R","IBB","HBP"
"Rex Brothers","9794",9.5328,1.22,4.6071,0.235761,4.33026,1.0592,0.5119,0.135556,0.48114,0,0.9003,0.5142,0.0261,0.0514
"Reyes Moronta","14966",8.47757142857143,1.474,4.19328571428571,0.241475,4.62985714285714,3.83779684353742,1.8310829569161,0.872503863945579,2.3020426122449,0,0.9358,0.5425,0.0253,0.0421
"Reymin Guduan","13058",7.6239,1.212,3.5415,0.256258,4.38228,0.8471,0.3935,0.134667,0.48692,0,1.0042,0.5232,0.0246,0.0418
"Reynaldo Lopez","16400",9.41533117647059,1.06851311764706,3.03965470588235,0.236686941176471,3.72979058823529,167.059752860081,53.9559312420646,18.9597652730738,66.3516093442214,0.0106053,141.579714285714,70.5827571428571,0,4.63515
"Reynaldo Yean","sa3018303",7.2468,1.504,7.3521,0.263672,6.084,0.8052,0.8169,0.167111,0.676,0,1.0332,0.7164,0.0277,0.0536
"Reynardo Cruz","sa3016032",5.4018,1.822,5.7159,0.291015,6.68709,0.6002,0.6351,0.202444,0.74301,0,1.1867,0.7855,0.0084,0.0581
"Reyson Santos","sa3008266",5.7816,1.44,5.9715,0.276814,5.96376,0.6424,0.6635,0.16,0.66264,0,1.1059,0.704,0.0272,0.0544
"Rhett Kouba","sa3017544",6.552325,1.33095,3.60275,0.265019,4.88939,28.85155,15.69555,5.0818335,19.78567,0,39.539,21.30535,0.00165,2.5253
"Rhett Lowder","33876",7.03733529411765,1.33602470588235,3.06470117647059,0.264333823529412,4.78469882352941,89.4830636598232,38.7620368307574,16.8994737474818,60.6369925484045,0.869616714285714,119.090428571429,64.8245857142857,0,5.06934571428571
"Ricardito Lorenzo","sa3018035",4.2372,1.355,9.4401,0.290811,7.14114,0.4708,1.0489,0.150556,0.79346,0,1.1665,0.8402,0.0295,0.0519
"Ricardo Brizuela","sa3019290",4.9932,1.78,4.3704,0.287347,6.05502,0.5548,0.4856,0.197778,0.67278,0,1.1691,0.7128,0.0068,0.0478
"Ricardo Estrada","sa3016017",4.5225,1.45,6.4422,0.289057,6.35013,0.5025,0.7158,0.161111,0.70557,0,1.1686,0.75,0.0061,0.0474
"Ricardo Gomez","sa3019462",4.7151,1.542,8.4897,0.287259,7.15167,0.5239,0.9433,0.171333,0.79463,0,1.1553,0.8389,0.029,0.0529
"Ricardo Montero","sa3018370",4.3974,1.508,9.5175,0.291729,7.59798,0.4886,1.0575,0.167556,0.84422,0,1.1738,0.8902,0.0298,0.0739
"Ricardo Pinto","16318",6.4379875,1.12389583333333,3.52715,0.269087083333333,4.71917916666667,23.5219056419753,13.5314309475309,4.42079894753086,18.4099695092593,0,36.0344,20.2679,0.0124,2.5246
"Ricardo Quintana","sa3019758",4.3299,1.466,8.3745,0.293191,7.13133,0.4811,0.9305,0.162889,0.79237,0,1.1837,0.8384,0.029,0.0522
"Ricardo Sanchez","17581",7.0641,1.107,3.0276,0.260632,4.15836,0.7849,0.3364,0.123,0.46204,0,1.0235,0.5008,0.0247,0.0466
"Ricardo Velez","sa3017602",8.007495,1.274785,3.774795,0.256547,4.604755,21.4332,9.7129,3.5655555,12.25077,0,24.00125,13.26955,0.01265,1.5231
"Ricardo Yan","sa3016056",6.2856,1.187,5.1408,0.274613,5.43195,0.6984,0.5712,0.131889,0.60355,0,1.0881,0.6471,0.0031,0.0665
"Rich Hill","4806",8.06794166666667,1.3926125,3.19239166666667,0.263200833333333,5.19249166666667,50.6760863055556,22.5805805462963,10.440491537037,38.1590685092593,0,65.47685,38.2375,0.0072,4.0255
"Richard Bleier","7803",5.44321666666667,1.07312125,2.26477083333333,0.277921666666667,4.27130833333333,9.70029303703704,3.70994014506173,1.98280424074074,7.95096158024692,0,17.55275,7.75125,0.51535,0.5216
"Richard Fernandez","sa3018898",4.2588,1.529,6.2469,0.294553,6.62148,0.4732,0.6941,0.169889,0.73572,0,1.1978,0.7811,0.0033,0.0514
"Richard Fitts","30160",7.09117647058823,1.24421176470588,2.81861294117647,0.261950647058824,4.46286352941176,48.3964007058824,19.5126465448289,8.4633555426759,30.8354043771549,0.884465285714286,64.1498285714286,33.3643857142857,0,2.26827428571429
"Richard Gallardo","sa3009990",5.993275,1.37431,2.740155,0.26936,4.79451,21.83515,9.166,5.075778,17.271185,0,35.04805,18.7914,0.0021,2.52445
"Richard Guasch","sa3008434",8.227305,1.15575,5.030705,0.247671,4.909075,18.94815,12.2567,2.5654445,11.75578,0,19.48435,12.7747,0.5128,2.5273
"Richard Lovelady","19337",8.05762941176471,0.894332470588235,2.76748941176471,0.240789647058824,3.72690941176471,29.8638573483737,10.0316905395156,3.30365430117647,13.6324365951557,1.10726285714286,30.7217857142857,15.0093,0,1.74521
"Richard Rodriguez","13549",6.1065,1.499,2.8395,0.277767,5.11326,0.6785,0.3155,0.166556,0.56814,0,1.1239,0.6039,0.0241,0.0473
"Richy Valdez","sa3019083",4.4073,1.372,9.0027,0.294598,7.36902,0.4897,1.0003,0.152444,0.81878,0,1.1862,0.8649,0.0294,0.0592
"Rickey Ramirez","sa3004644",5.5116,1.423,5.5512,0.282008,5.83434,0.6124,0.6168,0.158111,0.64826,0,1.1315,0.6912,0.027,0.0479
"Ricky Castro","sa3023681",6.0903,1.549,4.0095,0.278206,5.56866,0.6767,0.4455,0.172111,0.61874,0,1.1217,0.6576,0.0051,0.0426
"Ricky DeVito","sa1116003",7.96297,1.13585,6.710845,0.2538565,5.455915,19.93855,18.33375,3.0575555,14.774405,0,21.9918,15.79555,0.0133,4.0359
"Ricky Karcher","23449",9.07505416666667,1.041625,6.70995,0.24003625,5.28575833333333,21.2462387160494,17.3188050648148,2.26919405246914,12.8247410555556,0,17.94965,12.2741,0.513,1.5234
