"name","playerid","new_TBF","TBF","Source","TBF_adj_rate"
"Edgar Santana","17355",4.355,NA,NA,NA
"Edgardo Henriquez","26944",174.102933333333,231.252,"REZ1",0.752871038232462
"Edgardo Ibarra","sa3015348",4.745,NA,NA,NA
"Edinson Batista","sa3009266",4.569,NA,NA,NA
"Edinson Salgado","sa3019598",4.95,NA,NA,NA
"Edinson Valdespina","sa3017875",5.066,NA,NA,NA
"Edinzo Marquez","sa3019300",4.829,NA,NA,NA
"Edison Suriel","sa917807",4.742,NA,NA,NA
"Eduar Gonzalez","sa3020993",4.857,NA,NA,NA
"Eduar Segovia","sa3008374",4.819,NA,NA,NA
"Eduard Bazardo","20997",179.430764705882,91.451,"REZ1",1.96204267537679
"Eduard Monroy","sa3011243",4.826,NA,NA,NA
"Eduardo Fernandez","sa3021005",5.105,NA,NA,NA
"Eduardo Herrera","sa3002702",4.446,NA,NA,NA
"Eduardo Rivera","sa3017951",4.622,NA,NA,NA
"Eduardo Robles","sa3022261",4.842,NA,NA,NA
"Eduardo Rodriguez","13164",556.228529411765,481.337,"REZ1",1.15559063486033
"Eduardo Salazar","23135",246.662941176471,264.762,"REZ1",0.931640270040529
"Eduardo Soriano","sa3017278",4.876,NA,NA,NA
"Eduardo Tovar","sa3019647",5.086,NA,NA,NA
"Eduardo Zapata","sa3017656",5.189,NA,NA,NA
"Eduarniel Nunez","sa3005284",114.236,NA,NA,NA
"Edwar Chirinos","sa3018842",4.986,NA,NA,NA
"Edwar Colina","20589",4.308,NA,NA,NA
"Edwar Polimir","sa3017552",4.71,NA,NA,NA
"Edward Baram","sa3010664",4.726,NA,NA,NA
"Edward Cabrera","21690",498.187705882353,358.031,"REZ1",1.39146528061077
"Edward Cedano","sa3021792",4.997,NA,NA,NA
"Edwin Cervantes","sa3020965",5.055,NA,NA,NA
"Edwin Diaz","14710",253.704764705882,204.895,"REZ1",1.23821842751596
"Edwin Escobar","10337",107.2135,NA,NA,NA
"Edwin Gonzalez","sa3019263",4.938,NA,NA,NA
"Edwin Jimenez","sa3010800",4.5,NA,NA,NA
"Edwin Moreno","sa3019166",4.871,NA,NA,NA
"Edwin Nunez","sa3014813",164.835,NA,NA,NA
"Edwin Rodriguez","sa3016058",5.11,NA,NA,NA
"Edwin Uceta","20539",280.922705882353,304.256,"REZ1",0.923310323814002
"Edwin Zamudio","sa3015951",5.03,NA,NA,NA
