"name","playerid","new_GS","GS","Source","GS_adj_rate"
"Trevor Bettencourt","sa918556",0.0168,NA,NA,NA
"Trevor Brigden","sa3011481",0.5,NA,NA,NA
"Trevor Cahill","6249",0.1691,NA,NA,NA
"Trevor Clifton","sa737901",0,NA,NA,NA
"Trevor Gott","15046",0.248294117647059,1.407,"REZ1",0.176470588235294
"Trevor Harrison","sa3023629",0.1733,NA,NA,NA
"Trevor Hildenberger","17002",0,NA,NA,NA
"Trevor Holloway","sa3014859",0,NA,NA,NA
"Trevor Kelley","18454",0.587541666666667,0.844,"REZ1",0.696139415481833
"Trevor Lane","sa918196",0,NA,NA,NA
"Trevor Martin","sa3020608",11.5865,NA,NA,NA
"Trevor May","6398",0.908571428571429,3.18,"REZ1",0.285714285714286
"Trevor McDonald","26448",1.92126117647059,-1.278,"REZ1",-1.50333425388935
"Trevor Megill","17722",0.498188988235294,2.042,"REZ1",0.243971100996716
"Trevor Richards","19309",0.407027529411765,0.661,"REZ1",0.615775384889205
"Trevor Rogers","22286",10.4491635294118,14.957,"REZ1",0.698613594264342
"Trevor Stephan","19932",0.662823529411765,3.756,"REZ1",0.176470588235294
"Trevor Tietz","sa3017897",0,NA,NA,NA
"Trevor Williams","16977",17.0813647058824,22.089,"REZ1",0.773297329253581
"Trey Benton","sa3015034",0,NA,NA,NA
"Trey Braithwaite","sa3020251",0.0193,NA,NA,NA
"Trey Cobb","sa918276",0,NA,NA,NA
"Trey Cumbie","sa3006954",0.0214,NA,NA,NA
"Trey Dillard","sa3023309",0.0212,NA,NA,NA
"Trey Dombroski","sa3020833",8.0814,NA,NA,NA
"Trey Gibson","sa3023250",0.1574,NA,NA,NA
"Trey Jeans","sa3010265",0.0202,NA,NA,NA
"Trey McGough","sa1170436",1.3387,NA,NA,NA
"Trey McLoughlin","sa3017277",0,NA,NA,NA
"Trey Riley","sa3007611",0,NA,NA,NA
"Trey Supak","sa828707",5.0778,NA,NA,NA
"Trey Wingenter","17793",-0.195833333333333,-1.175,"REZ1",0.166666666666667
"Tristan Beck","21584",3.2259,3.672,"REZ1",0.878513071895425
"Tristan Garnett","sa3017473",0,NA,NA,NA
"Tristan Stevens","sa3019881",6.5777,NA,NA,NA
"Tristan Stivors","sa3020325",0,NA,NA,NA
"Triston McKenzie","18000",15.5536588235294,4.879,"REZ1",3.18787842253114
"Triston Polley","sa3010258",0.5,NA,NA,NA
